category_english,avg_freight,avg_price,freight_pct

home_comfort_2,13.6770002841949,25.3423332214355,53.97
flowers,14.8142426086195,33.6375759587143,44.04
furniture_mattress_and_upholstery,42.9068413784629,114.949473230462,37.33
christmas_supplies,21.1065358835108,57.5216998212478,36.69
diapers_and_hygiene,14.7097434875293,40.1946151929024,36.6
cds_dvds_musicals,16.070714541844,52.1428571428571,30.82
signaling_and_security,32.7026133489369,108.086583362752,30.26
food_drink,16.2157913617951,54.602446219904,29.7
electronics,16.8335092952202,57.9135306860335,29.07
fashion_sport,19.2709999402364,70.6503339767456,27.28
furniture_living_room,35.7220080833786,137.011053343179,26.07
kitchen_dining_laundry_garden_furniture,42.7025978336131,164.869644212553,25.9
drinks,15.1484168931488,59.1786280961653,25.6
office_furniture,40.5511236275986,162.011059206664,25.03
food,14.256921545197,57.6341371835447,24.74
furniture_decor,20.7282577689426,87.564493916033,23.67
furniture_bedroom,42.4975229665774,183.750274736947,23.13
housewares,20.9863742298515,90.7881477413199,23.12
books_technical,16.0414231903991,71.520824375224,22.43
fashio_female_clothing,12.9531251291434,58.4091668923696,22.18
telephony,15.66904078193,71.2139778641847,22
luggage_accessories,27.8802472610613,128.598882591331,21.68
dvds_blu_ray,20.1365622505546,93.7404684722424,21.48
fashion_shoes,18.7743130203422,89.9342363808901,20.88
costruction_tools_garden,22.3168066850229,108.049958333248,20.65
fashion_bags_accessories,15.484982834198,75.2454654875792,20.58
arts_and_craftmanship,15.4220832387606,75.5837502082189,20.4
garden_tools,22.765758039761,111.630196003138,20.39
stationery,18.5929598957522,91.7533690397068,20.26
fashion_underwear_beach,14.6274046424691,72.8362603223961,20.08
fashion_male_clothing,16.3061364491781,81.8016669244477,19.93
industry_commerce_and_business,29.4204477445403,148.020932944853,19.88
bed_bath_table,18.4159280621072,93.2963274885822,19.74
books_general_interest,16.6284268105009,84.7321528560645,19.62
market_place,17.5436013151212,91.2490998050408,19.23
home_appliances,19.2203631945312,103.983826453584,18.48
party_supplies,19.2551162631013,104.306511768075,18.46
pet_shop,20.3190755023328,110.074684149679,18.46
construction_tools_lights,24.9467105598826,135.131579417931,18.46
cine_photo,17.4472221997049,96.2980549732844,18.12
sports_leisure,19.5124997410461,114.34428525509,17.06
fashion_childrens_clothes,11.9387500882149,71.2312502861023,16.76
art,19.3548804401781,115.802105153006,16.71
home_construction,22.9010595785861,137.563112276279,16.65
baby,22.3011778505826,134.344172932312,16.6
books_imported,12.830833307902,77.3308332125346,16.59
tablets_printing_image,14.7734938989203,90.7037354894431,16.29
la_cuisine,23.8249999699848,146.784999847412,16.23
computers_accessories,18.8217810266185,116.513902830989,16.15
toys,18.8064003187208,117.548360567114,16
auto,21.8805690878573,139.957523189723,15.63
UNKNOWN,17.5864413035181,113.736791472385,15.46
security_and_services,20.6100001335144,141.644996643066,14.55
home_confort,19.5880875840165,134.958618518944,14.51
health_beauty,18.8797032031956,130.163530606962,14.5
construction_tools_construction,22.2286437013065,155.734757668364,14.27
perfumery,15.8566364554433,116.737311665305,13.58
cool_stuff,22.1388566752953,167.357969361688,13.23
costruction_tools_tools,19.7108738399246,154.407281347849,12.77
consoles_games,17.438891932958,138.491838529431,12.59
air_conditioning,22.7246801315333,185.269224629258,12.27
music,18.171315908432,158.798683430019,11.44
audio,15.6880219192295,139.254119836367,11.27
musical_instruments,27.4095441858558,281.616000071694,9.73
construction_tools_safety,20.2015464035506,208.992369818933,9.67
home_appliances_2,44.53857146191,476.124957413233,9.35
small_appliances,23.5938880194269,280.778468330057,8.4
watches_gifts,16.7811601128727,201.135983566911,8.34
agro_industry_and_commerce,27.5641510239187,342.12485754265,8.06
fixed_telephony,17.567462189631,225.693181697166,7.78
small_appliances_home_oven_and_coffee,36.156052608239,624.2856589493,5.79
computers,48.4546797898015,1098.34054129464,4.41
NULL,NULL,NULL,NULL
