category_english,revenue,total_revenue,revenue_share_pct


bed_bath_table,1712536.14100313,20470651.0174052,8.37
health_beauty,1657367.69939351,20470651.0174052,8.1
computers_accessories,1585327.47625828,20470651.0174052,7.74
furniture_decor,1430169.51177657,20470651.0174052,6.99
watches_gifts,1429214.67859244,20470651.0174052,6.98
sports_leisure,1392125.13914955,20470651.0174052,6.8
housewares,1094752.22028387,20470651.0174052,5.35
auto,852293.09112525,20470651.0174052,4.16
garden_tools,838275.010778189,20470651.0174052,4.1
cool_stuff,779694.720048666,20470651.0174052,3.81
office_furniture,646826.487148523,20470651.0174052,3.16
toys,619036.119479418,20470651.0174052,3.02
baby,539844.979735017,20470651.0174052,2.64
perfumery,506736.849894047,20470651.0174052,2.48
telephony,486876.680712581,20470651.0174052,2.38
stationery,317440.069658756,20470651.0174052,1.55
pet_shop,311267.780301452,20470651.0174052,1.52
computers,279121.549365997,20470651.0174052,1.36
electronics,259856.069674134,20470651.0174052,1.27
UNKNOWN,259310.370173216,20470651.0174052,1.27
construction_tools_construction,241475.630258799,20470651.0174052,1.18
musical_instruments,233074.120687962,20470651.0174052,1.14
small_appliances,225584.110023499,20470651.0174052,1.1
fashion_bags_accessories,218155.030022144,20470651.0174052,1.07
fixed_telephony,207010.259652376,20470651.0174052,1.01
consoles_games,195480.379125357,20470651.0174052,0.95
luggage_accessories,187149.440385103,20470651.0174052,0.91
NULL,162591.040219545,20470651.0174052,0.79
home_construction,136644.810306549,20470651.0174052,0.67
furniture_living_room,136138.770012856,20470651.0174052,0.67
home_appliances_2,124563.460985184,20470651.0174052,0.61
agro_industry_and_commerce,118730.610542059,20470651.0174052,0.58
home_appliances,95530.5498273373,20470651.0174052,0.47
air_conditioning,91170.6594867706,20470651.0174052,0.45
home_confort,84329.0600186586,20470651.0174052,0.41
construction_tools_lights,72712.4799132347,20470651.0174052,0.36
kitchen_dining_laundry_garden_furniture,74660.9798231125,20470651.0174052,0.36
drinks,71429.6509256363,20470651.0174052,0.35
signaling_and_security,68488.0503454208,20470651.0174052,0.33
books_general_interest,64694.7596154213,20470651.0174052,0.32
construction_tools_safety,65691.029706955,20470651.0174052,0.32
audio,60323.920106411,20470651.0174052,0.29
industry_commerce_and_business,56745.7601060867,20470651.0174052,0.28
small_appliances_home_oven_and_coffee,51229.3202457428,20470651.0174052,0.25
food,46428.6702132225,20470651.0174052,0.23
market_place,45335.9202588797,20470651.0174052,0.22
costruction_tools_garden,42394.410119772,20470651.0174052,0.21
fashion_shoes,32422.7399759293,20470651.0174052,0.16
art,30992.9301080704,20470651.0174052,0.15
furniture_bedroom,31598.9399185181,20470651.0174052,0.15
food_drink,27289.7299141884,20470651.0174052,0.13
books_technical,24915.4399147034,20470651.0174052,0.12
costruction_tools_tools,21069.0700798035,20470651.0174052,0.1
christmas_supplies,18994.7699942589,20470651.0174052,0.09
fashion_male_clothing,17290.9800858498,20470651.0174052,0.08
fashion_underwear_beach,12714.5399303436,20470651.0174052,0.06
tablets_printing_image,10042.9300041199,20470651.0174052,0.05
cine_photo,9530.31997799873,20470651.0174052,0.05
dvds_blu_ray,7935.27993988991,20470651.0174052,0.04
party_supplies,5966.31005573273,20470651.0174052,0.03
books_imported,6701.89001846313,20470651.0174052,0.03
music,6901.42999529839,20470651.0174052,0.03
furniture_mattress_and_upholstery,5998.54007720947,20470651.0174052,0.03
diapers_and_hygiene,4221.24998092651,20470651.0174052,0.02
fashio_female_clothing,5109.61996459961,20470651.0174052,0.02
fashion_sport,3645.91997528076,20470651.0174052,0.02
arts_and_craftmanship,2326.16998291016,20470651.0174052,0.01
la_cuisine,2913.53002166748,20470651.0174052,0.01
cds_dvds_musicals,1199.43001556396,20470651.0174052,0.01
flowers,2213.00998497009,20470651.0174052,0.01
home_comfort_2,1710.5400056839,20470651.0174052,0.01
security_and_services,324.509994506836,20470651.0174052,0
fashion_childrens_clothes,785.670001983643,20470651.0174052,0
