computers,1374.98300180294,180.486964418705
fixed_telephony,784.129771410516,180.486964418705
small_appliances_home_oven_and_coffee,674.070003233458,180.486964418705
agro_industry_and_commerce,560.050049726693,180.486964418705
home_appliances_2,523.375886492369,180.486964418705
office_furniture,382.511228355129,180.486964418705
signaling_and_security,344.161057012165,180.486964418705
musical_instruments,342.756059835238,180.486964418705
construction_tools_safety,338.613555190489,180.486964418705
small_appliances,332.229911669365,180.486964418705
air_conditioning,306.971917463874,180.486964418705
furniture_bedroom,289.898531362551,180.486964418705
furniture_living_room,270.653618315816,180.486964418705
kitchen_dining_laundry_garden_furniture,265.697437092927,180.486964418705
construction_tools_construction,259.930710719912,180.486964418705
construction_tools_lights,239.185789188272,180.486964418705
watches_gifts,238.560286862367,180.486964418705
home_construction,226.233129646604,180.486964418705
industry_commerce_and_business,211.737910843607,180.486964418705
la_cuisine,208.109287261963,180.486964418705
cool_stuff,205.399030571303,180.486964418705
costruction_tools_tools,204.554078444694,180.486964418705
computers_accessories,202.545991600649,180.486964418705
auto,201.249844421547,180.486964418705
home_confort,194.306589904743,180.486964418705
garden_tools,192.839892058475,180.486964418705
drinks,188.468735951547,180.486964418705
music,181.616578823642,180.486964418705
